big00|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/0_b26ddac1-c1ba-4d6a-9fc3-9595d4ca614a_480x480.jpg?v=1634553054|このカードのナンバーは「０」あなたは可能性の塊です。「０」は生まれてくる命を育む卵のような形をしています。違う自分に生まれ変わって、何も無いところから物事を探求しましょう。<br>今までとは違った友人や同僚に出会い、新しい人間関係を築いていくことで人生をより豊かに出来ます。転職をする、新しい恋を探し始めるのにも絶好の機会です。時には自分の心のままに動くことが幸運を呼びます。自由な人生を歩み始めましょう。<br> 
big01|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/1_d645d16c-3b89-4b67-9ce3-3e5c0300e03c_480x480.jpg?v=1634531027|今は目的の為に集中する時です。<br>上手に立ち回り、魅力に溢れたあなたなら、新しいプロジェクトなどのあなたが新しく始めることは理想的な形で進んで行くでしょう。<br>未来に繋がる幸先いいスタートです。<br> <br>恋愛では年下の人に縁がありそうです。<br>知的でセンスも良いので、恋の主導権を握ることが出来るでしょう。<br>仕事面でも最初から完璧にいかなくても持ち前の機転で創意工夫をして壁を乗り越えて行きましょう。<br>周囲からの評価も高くなっていくはずです。
big02|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/2_03486a92-3724-47e6-b976-d06ef1721a5c_480x480.jpg?v=1634540202|高い知性や冷静さを持ちながらも、温かく包み込む安らぎや、心の癒しを与えてくれる存在です。物質的なものよりも精神的な心の豊かさに重きをおいて判断していて、そのことがあなたに幸運を運んでくるでしょう。<br> <br>恋愛は熱い想いというより穏やかで温かい心で相手を見ているのではないでしょうか。相手の方を異性というより、家族の様に親しみをもって接しているのかもしれません。情熱的な恋というより友情から発展していきそうです。
big03|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/3_c7aa6a0b-ef5a-42b3-b181-e5564345bd48_480x480.jpg?v=1634540678|コミュニケーション能力に長け、優れた才能で創造力を発揮し、閃きがあります。素晴らしいアイディアと磨かれたセンスであなたらしい企画を立てて、様々な業界の市場を取り込んでいくでしょう。<br> <br>恋愛運も高まるので、相思相愛の恋が待っているでしょう。あるいはもうしているのかもしれません。魅力的なあなただからこそ愛する恋人との幸せを手にできます。そして新たな関係、新しい家族という嬉しい知らせが伝えられるかもしれません。
big04|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/4_6f4c0326-e6cf-440b-8dca-de7a887f0044_480x480.jpg?v=1634541069|トップにありながら時には現場に立つ人でもあります。夢の実現には部下の力が不可欠であることを知っているので、強力なリーダーシップを発揮して周りを巻き込んでいくことでしょう。度量と勇気のある天性のリーダー気質なのかもしれません。<br> <br>素晴らしいアイディアを現実世界で成功させる術を知っていて、具体的に設計し実現することができます。あなたがいなければせっかくの企画もただの絵空事として終わってしまいます。独力で成功を掴み取っていく事でしょう。
big05|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/5_04c28a50-ce83-4277-8e8a-4883630651ba_480x480.jpg?v=1634541243|私達の小さな命は、より大きな法則に属し、私たちの個々の行動には重要な意味があるというメッセージを暗示しています。規則や慣例を守り、社会的役割や家族からの期待に応えることはあなたのもとへ幸せを呼び込むキッカケになります。<br> <br>真剣交際をしているパートナーがいる人には朗報が入るかもしれません。周囲から祝福されるでしょう。まだ相手を探している場合でも紹介者が現れ、尊敬できる相手と想い合える恋愛が始まっていく可能性が大きいです。
big06|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/6_2f310780-4f91-49b5-bd04-dd6ab5dff777_480x480.jpg?v=1634541428|人生の分かれ道とも言えるとても重要な選択を迫られます。話し合いや意思の疎通を図ることが大事になってくるでしょう。第三者に相談してみるのも良いです。もしくは誰かを説得しなくてはならない状況もあるかもしれません。<br> <br>表面上の関係や見かけに気を取られて、決断の時に啓示を受け取ることは難しいかもしれませんが、私達はしっかりと導かれているのです。自分のインスピレーションを信じた方がうまくいく可能性が高まります。<br>恋愛についても何かしらの選択をすることになるかもしれません。
big07|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/7_9ca152b5-6c48-4e01-9f7d-a101e38c1717_480x480.jpg?v=1634541594|未来と過去の双方を見据えて、積極的に事業を繁栄に導いていきます。共通の目的に邁進し、競争に勝つことができるでしょう。打ちだす戦略は全て成功しますし、勇気を持って断行することで前進するでしょう。あなたは今、成功者として人生の絶頂にいます。あなたの前に立ちはだかるものは誰もいません。<br> <br>恋愛でも勝者になれるでしょう。あなたは自信に溢れ、魅力的です。海外旅行や乗り物にも縁があります。ぜひ、世界中を駆け巡ってください。
big08|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/8_64f479c7-d15c-44b3-9664-c699435a1dfa_480x480.jpg?v=1634542718|必要なのは物理的な力ではなく、力むことなく自然に発揮される心の力です。「柔よく剛を制す」という言葉のように、優雅さと勇気を持って困難に対処していき、難しい局面を切り開きましょう。<br> <br>力で押さえつけようとすればさらなる反発が返ってきますが、柔らかさで包まれると猛獣でさえ自ら従順になります。仕事においても絶妙な状況のコントロールと、しなやかな態度、強い決意で企画を通し、プレゼンテーションを成功させることができます。
big09|https://cdn.shopify.com/s/files/1/0449/5356/7383/files/9_f76b14ae-f491-40d9-9a00-d908f1c731db_480x480.jpg?v=1634542828|１人きりの暗闇を抜け出すための鍵を持った人物が現れる暗示があります。人生経験豊富なその人物は、あなたを進むべき道に導いてくれる案内人です。その人物によって導かれ、本当の自分を発見し、困難を乗り越えることができるでしょう。<br> <br>それによって全く違う道を歩み始めるかもしれません。いつもの日常から離れて、内省的になることが必要な時期です。自分の夢を実現させていく事で、真実の自分をしっかり見据えましょう。
